"","V1","V2","V3","V4","V5"
"1900",1900,0.705362608799329,1.40800887633649,0.9425,0.626367949557498
"1901",1901,0.686389073294895,1.35199304098654,0.9425,1.13239214377179
"1902",1902,0.665153258205531,1.3074908328968,0.9490625,1.0030060533959
"1903",1903,0.663776940097876,1.28366339153897,0.9494375,1.061230438681
"1904",1904,0.62215042407157,1.18643554154797,0.954375,1.10766672766196
"1905",1905,0.630014108276606,1.2051954748112,0.9558125,1.09833202984987
"1906",1906,0.620626234130921,1.19593660738966,0.958125,1.053087734713
"1907",1907,0.613653787535619,1.18996486940583,0.9585,0.787280586312415
"1908",1908,0.601725529963618,1.13656802258705,0.95925,0.892894782639867
"1909",1909,0.617627380820895,1.18465141415961,0.956625,1.08904656494924
"1910",1910,0.643563490125686,1.24309145351349,0.957625,0.950495263633824
"1911",1911,0.687212390093898,1.35270895725565,0.955875,1.06189458350866
"1912",1912,0.690002596865211,1.35556571428571,0.956125,1.02594781866518
"1913",1913,0.664906448900558,1.28482074060645,0.960375,0.774188018895944
"1914",1914,0.653533426188783,1.26124593295723,0.958833333333333,0.609833917296147
"1915",1915,0.645286353068089,1.24803409568401,0.961875,0.835795725959964
"1916",1916,0.633458537776025,1.21746278604755,0.963625,0.786036796256233
"1917",1917,0.630814748486257,1.21078366004356,0.964,0.69521209552752
"1918",1918,0.637594682895895,1.23943661971831,0.9643125,0.61406061536162
"1919",1919,0.665449953263404,1.27210343112879,0.9656875,0.875426084143558
"1920",1920,0.702665306105405,1.35247337916161,0.96625,0.937060677254582
"1921",1921,0.746532271854711,1.43544867715247,0.9665,1.01472852572399
"1922",1922,0.745303293349939,1.43931917975646,0.968125,0.87518048007768
"1923",1923,0.733779250384001,1.43958880536183,0.9670625,0.885087251757843
"1924",1924,0.737252779438103,1.43893321176202,0.9695625,0.833381742482044
"1925",1925,0.761186666182158,1.4976403207331,0.966875,0.77700958301618
"1926",1926,0.729753610568842,1.42377213803177,0.96875,0.855088543117034
"1927",1927,0.734369652765666,1.42827282228382,0.9676875,1.05028777397285
"1928",1928,0.737678349225643,1.42573402417962,0.9698125,1.05028859698904
"1929",1929,0.7670392247631,1.49455327718784,0.9700625,1.0143197715605
"1930",1930,0.787457718418384,1.52120602095439,0.969,1.08812776757488
"1931",1931,0.727650698163513,1.44207414146009,0.9696875,1.15142732447217
"1932",1932,0.734448246835657,1.43052165265347,0.97025,1.04879071291117
"1933",1933,0.703476461938705,1.38462592491093,0.972,0.743114113759569
"1934",1934,0.735977479743426,1.46586197364784,0.971125,0.929832199724738
"1935",1935,0.735110873726141,1.45782857142857,0.970375,1.11222015442226
"1936",1936,0.750185946046404,1.50932437950905,0.9703125,1.05194694225001
"1937",1937,0.739834446761678,1.47025521618043,0.9713125,0.968652884934817
"1938",1938,0.736548767288092,1.47404636556756,0.9714375,0.96233357829902
"1939",1939,0.737938756671337,1.45959943168798,0.970625,1.26161791714199
"1940",1940,0.723304469975388,1.41817851959361,0.970875,0.881594433058915
"1941",1941,0.706889797459227,1.41592322249257,0.9715625,0.85169733549713
"1942",1942,0.671104042844163,1.34671466326438,0.9719375,1.17069891888708
"1943",1943,0.664887843991678,1.33123493169033,0.9735625,0.726709951504177
"1944",1944,0.681161861230188,1.35483870967742,0.971625,0.722876118088197
"1945",1945,0.681083064603554,1.37725204731574,0.97225,0.841770207022826
"1946",1946,0.685755288653975,1.37099760646706,0.973625,0.782448401028444
"1947",1947,0.710886849611333,1.41676119606153,0.976625,0.809505289507346
"1948",1948,0.720967867317325,1.45347988689227,0.975375,1.07213370708151
"1949",1949,0.725082990432608,1.46151053013798,0.97625,1.05165941206007
"1950",1950,0.744808536485182,1.48019666757716,0.9755625,1.02283892726757
"1951",1951,0.718885633136992,1.4161149394226,0.9753125,0.834021963829235
